orbit1 orbit2 k3 k2 k1 tau DenDen error
1 1 0 1 8 19 0.55874892 0.00635171
1 1 0 1 8 20 0.59033416 0.00837663
1 1 0 1 9 0 0.52865263 0.00839324
1 1 0 1 9 1 0.50491571 0.00722904
1 1 0 1 9 2 0.48811637 0.00465457
1 1 0 1 9 3 0.46768138 0.00831571
1 1 0 1 9 4 0.44734294 0.00757773
1 1 0 1 9 5 0.44569157 0.00782831
1 1 0 1 9 6 0.43022508 0.00939084
1 1 0 1 9 7 0.42151156 0.00687792
1 1 0 1 9 8 0.41975050 0.00913439
1 1 0 1 9 9 0.41949250 0.00936016
1 1 0 1 9 10 0.41953251 0.01107963
1 1 0 1 9 11 0.41896006 0.00777704
1 1 0 1 9 12 0.43325313 0.00956028
1 1 0 1 9 13 0.42817653 0.00809820
1 1 0 1 9 14 0.42689834 0.00811660
1 1 0 1 9 15 0.43779807 0.00779074
1 1 0 1 9 16 0.45343342 0.00744018
1 1 0 1 9 17 0.46973941 0.00806959
1 1 0 1 9 18 0.48176205 0.00775841
1 1 0 1 9 19 0.51124231 0.00748894
1 1 0 1 9 20 0.52865263 0.00839324
1 1 0 1 10 0 0.49229650 0.00720394
1 1 0 1 10 1 0.47659116 0.00542459
1 1 0 1 10 2 0.46646656 0.00708397
1 1 0 1 10 3 0.44844389 0.00681359
1 1 0 1 10 4 0.45408654 0.00731673
1 1 0 1 10 5 0.43978238 0.00501459
1 1 0 1 10 6 0.44103351 0.00741338
1 1 0 1 10 7 0.43228004 0.00330251
1 1 0 1 10 8 0.42613471 0.00589723
1 1 0 1 10 9 0.43320761 0.00684167
1 1 0 1 10 10 0.42809834 0.00500413
1 1 0 1 10 11 0.42336621 0.00567228
1 1 0 1 10 12 0.43011128 0.00736067
1 1 0 1 10 13 0.43592377 0.00478021
1 1 0 1 10 14 0.43071147 0.00770972
1 1 0 1 10 15 0.43295439 0.00700142
1 1 0 1 10 16 0.44646825 0.00463959
1 1 0 1 10 17 0.45711813 0.00602589
