orbit1 orbit2 r3 r2 r1 tau DenDen error
1 1 0 1 5 10 0.99860398 0.00263316
1 1 0 1 5 11 0.99828172 0.00248762
1 1 0 1 5 12 0.99978339 0.00265090
1 1 0 1 5 13 0.99929566 0.00251175
1 1 0 1 5 14 0.99950410 0.00273661
1 1 0 1 5 15 0.99934814 0.00254979
1 1 0 1 5 16 0.99967759 0.00235859
1 1 0 1 5 17 0.99908609 0.00265142
1 1 0 1 5 18 0.99912115 0.00277920
1 1 0 1 5 19 0.99877537 0.00288013
1 1 0 1 5 20 0.99890914 0.00287536
1 1 0 1 6 0 1.00052880 0.00237680
1 1 0 1 6 1 1.00142455 0.00261368
1 1 0 1 6 2 1.00089902 0.00284118
1 1 0 1 6 3 1.00081773 0.00268297
1 1 0 1 6 4 1.00056755 0.00280532
1 1 0 1 6 5 1.00081398 0.00249167
1 1 0 1 6 6 1.00053352 0.00269169
1 1 0 1 6 7 1.00012538 0.00245457
1 1 0 1 6 8 0.99953795 0.00263783
1 1 0 1 6 9 1.00180270 0.00260993
1 1 0 1 6 10 1.00103794 0.00268032
1 1 0 1 6 11 1.00107071 0.00235920
1 1 0 1 6 12 1.00134314 0.00249327
1 1 0 1 6 13 1.00069275 0.00225573
1 1 0 1 6 14 1.00069419 0.00290541
1 1 0 1 6 15 0.99979636 0.00252612
1 1 0 1 6 16 1.00075168 0.00244342
1 1 0 1 6 17 1.00034456 0.00277941
1 1 0 1 6 18 1.00094944 0.00257571
1 1 0 1 6 19 1.00026956 0.00252699
1 1 0 1 6 20 1.00052880 0.00237680
1 1 0 1 7 0 0.99995714 0.00218086
1 1 0 1 7 1 1.00033957 0.00225628
1 1 0 1 7 2 1.00005252 0.00209363
1 1 0 1 7 3 1.00001260 0.00206948
1 1 0 1 7 4 0.99989803 0.00240237
1 1 0 1 7 5 0.99982679 0.00221776
1 1 0 1 7 6 1.00107543 0.00219523
1 1 0 1 7 7 1.00059510 0.00213322
1 1 0 1 7 8 0.99901820 0.00223837
1 1 0 1 7 9 0.99953868 0.00223816
1 1 0 1 7 10 0.99974520 0.00206178
1 1 0 1 7 11 0.99877505 0.00220010
1 1 0 1 7 12 1.00074596 0.00204120
1 1 0 1 7 13 1.00014666 0.00224193
1 1 0 1 7 14 0.99993806 0.00239102
1 1 0 1 7 15 0.99927909 0.00206509
1 1 0 1 7 16 1.00068079 0.00227439
1 1 0 1 7 17 0.99867638 0.00214729
1 1 0 1 7 18 1.00001909 0.00231496
1 1 0 1 7 19 0.99868529 0.00220207
1 1 0 1 7 20 0.99995714 0.00218086
1 1 0 1 8 0 1.00009419 0.00267156
1 1 0 1 8 1 0.99952156 0.00266243
1 1 0 1 8 2 0.99997859 0.00211597
1 1 0 1 8 3 0.99955972 0.00260303
1 1 0 1 8 4 0.99958895 0.00269733
1 1 0 1 8 5 0.99881321 0.00227677
1 1 0 1 8 6 0.99997951 0.00250498
1 1 0 1 8 7 0.99957859 0.00228198
1 1 0 1 8 8 1.00023230 0.00239678
1 1 0 1 8 9 1.00000419 0.00253998
1 1 0 1 8 10 0.99897993 0.00225751
1 1 0 1 8 11 0.99892342 0.00258940
1 1 0 1 8 12 0.99969918 0.00236419
1 1 0 1 8 13 1.00000266 0.00243122
1 1 0 1 8 14 0.99988632 0.00236928
1 1 0 1 8 15 1.00015982 0.00250096
1 1 0 1 8 16 0.99984301 0.00237629
1 1 0 1 8 17 0.99986559 0.00270275
1 1 0 1 8 18 0.99945387 0.00206983
1 1 0 1 8 19 0.99948698 0.00244601
1 1 0 1 8 20 1.00009419 0.00267156
1 1 0 1 9 0 0.99902495 0.00252379
1 1 0 1 9 1 0.99995145 0.00266240
1 1 0 1 9 2 1.00071902 0.00257400
1 1 0 1 9 3 0.99930202 0.00262712
1 1 0 1 9 4 0.99968368 0.00239948
1 1 0 1 9 5 1.00063347 0.00227462
1 1 0 1 9 6 1.00027792 0.00238034
1 1 0 1 9 7 0.99959711 0.00269469
1 1 0 1 9 8 0.99990844 0.00259280
